Chromobacterium Subtsugae,360,2,1025DB,24,80,-1,-1,6-7.5,-1,-1
Priestia Aryabhattai,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1 
Bacillus Thuringiensis Kurstaki,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Bacillus Thuringiensis Aizawai,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Azospirillum Brasilense,360,2,1235iDB,48,80,80,-1,6.5-7.5,5.5-6.5,-1 
Bradyrhizobium Diazoefficiens,360,2,1235iDB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Pseudomonas Fluorescens,360,2,1025DB,24,80,-1,-1,6-7.5,-1,-1
Bacillus Firmus,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Bradyrhizobium Japonicum,360,2,1235iDB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Bacillus Pumilus,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Bacillus Megaterium,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Bacillus Licheniformis,360,2,1025DB,48,80,80,-1,6.5-7.5,5.5-6.5,-1
Bacillus Amyloliquefaciens,360,2, 1025DB, 48, 80, 80, -1, 6.5-7.5, 5.5-6.5, -1
Bacillus Velezensis,360,2,1025DB, 48, 80, 80, -1, 6.5-7.5, 5.5-6.5, -1
Rhizobium Tropicci,360,2,1235iDB, 48, 80, 80, -1, 6.5-7.5, 5.5-6.5, -1
Bacillus Subtilis,360,2,1025DB, 48, 80, 80, -1, 6.5-7.5, 5.5-6.5, -1
Bacillus Methylotropicus,360,2, 1025DB, 48, 80, 80, -1, 6.5-7.5, 5.5-6.5, -1
Pochonia Chlamydosporia,168,2, 1035fDB, 72, 80, 75, 70, 4.5-5.5, 4.0-5.0, 3.5-4.5 
Trichoderma Harzianum,168,2, 1035fDB, 72, 80, 75, 70, 4.5-5.5, 4.0-5.0, 3.5-4.5
Isaria Fumosorosea,168,2, 1035fDB, 72, 80, 75, 70, 4.5-5.5, 4.0-5.0, 3.5-4.5
Beauveria Bassiana,168,2, 1035fDB, 72, 80, 75, 70, 4.5-5.5, 4.0-5.0, 3.5-4.5
Purpureocillium Lilacinum,168,2,1035fDB, 72, 80, 75, 70, 4.5-5.5, 4.0-5.0, 3.5-4.5
Metarhizium Anisopliae,168,2,1035fDB, 72, 80, 75, 70, 4.5-5.5, 4.0-5.0, 3.5-4.5